Chose device: name='Tesla M2070' index=0 id=0x3b89230
test	atts	units	median	mean	stddev	min	max	trial0	trial1	trial2	trial3	trial4	trial5	trial6	trial7	trial8	trial9	
DownloadDelay	     1kB	ms	0.005056	0.0050976	0.000266984	0.004832	0.005792	0.005248	0.005792	0.005152	0.004832	0.004864	0.005056	0.005024	0.005056	0.004832	0.00512	
DownloadDelay	     2kB	ms	0.004944	0.0049632	0.000103642	0.0048	0.00512	0.00512	0.004832	0.0048	0.005024	0.00512	0.004928	0.00496	0.005024	0.004896	0.004928	
DownloadDelay	     4kB	ms	0.005808	0.0058144	0.000144568	0.005632	0.006144	0.005888	0.005888	0.006144	0.005696	0.00576	0.005888	0.005792	0.005632	0.005824	0.005632	
DownloadDelay	     8kB	ms	0.007696	0.0080928	0.00128259	0.007552	0.011936	0.007712	0.007744	0.007744	0.007616	0.007552	0.00768	0.011936	0.007648	0.007584	0.007712	
DownloadDelay	    16kB	ms	0.008624	0.0085568	0.000138896	0.00832	0.008704	0.008672	0.008704	0.008384	0.008672	0.008512	0.008672	0.008384	0.00832	0.008576	0.008672	
DownloadDelay	    32kB	ms	0.008592	0.0086016	0.000151992	0.008288	0.008928	0.008928	0.008608	0.008544	0.008608	0.008576	0.008288	0.008544	0.008576	0.008736	0.008608	
DownloadDelay	    64kB	ms	0.008608	0.008576	9.16341e-05	0.008384	0.008704	0.008704	0.008512	0.008608	0.008672	0.008608	0.00848	0.008384	0.008544	0.008608	0.00864	
DownloadDelay	   128kB	ms	0.005568	0.0057312	0.000481799	0.005408	0.007136	0.005824	0.005472	0.005696	0.005504	0.007136	0.005568	0.005568	0.005408	0.005632	0.005504	
DownloadDelay	   256kB	ms	0.005568	0.005552	7.60631e-05	0.005408	0.005696	0.005568	0.005568	0.0056	0.00544	0.005408	0.005568	0.005568	0.005696	0.005568	0.005536	
DownloadDelay	   512kB	ms	0.00552	0.0055392	8.02556e-05	0.00544	0.005696	0.005632	0.0056	0.005536	0.005504	0.00544	0.005504	0.005696	0.00544	0.005472	0.005568	
DownloadDelay	  1024kB	ms	0.005552	0.0055712	5.97809e-05	0.005472	0.005664	0.005568	0.005536	0.005536	0.005632	0.005536	0.005664	0.005536	0.005568	0.005472	0.005664	
DownloadDelay	  2048kB	ms	0.005616	0.0055904	0.000119776	0.005408	0.005824	0.005632	0.005504	0.005472	0.005472	0.005632	0.005408	0.005664	0.005824	0.0056	0.005696	
DownloadDelay	  4096kB	ms	0.00552	0.0055392	0.00010265	0.00544	0.005824	0.005536	0.005824	0.00544	0.005504	0.005504	0.005568	0.005536	0.005536	0.005504	0.00544	
