oclTranspose-Outer-simple copy, Throughput = 0.4954 GB/s, Time = 0.03386 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-shared memory copy, Throughput = 0.4915 GB/s, Time = 0.03414 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-uncoalesced copy, Throughput = 0.2623 GB/s, Time = 0.06396 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-naive, Throughput = 0.3378 GB/s, Time = 0.04966 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-optimized, Throughput = 0.2976 GB/s, Time = 0.05638 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-simple copy, Throughput = 0.4978 GB/s, Time = 0.03370 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-shared memory copy, Throughput = 0.4934 GB/s, Time = 0.03400 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-uncoalesced copy, Throughput = 0.2618 GB/s, Time = 0.06409 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-naive, Throughput = 0.3389 GB/s, Time = 0.04951 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-optimized, Throughput = 0.4793 GB/s, Time = 0.03501 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-simple copy, Throughput = 0.4946 GB/s, Time = 0.03392 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-shared memory copy, Throughput = 0.4902 GB/s, Time = 0.03423 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-uncoalesced copy, Throughput = 0.2611 GB/s, Time = 0.06426 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-naive, Throughput = 0.3360 GB/s, Time = 0.04993 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-optimized, Throughput = 0.4738 GB/s, Time = 0.03541 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-simple copy, Throughput = 0.4940 GB/s, Time = 0.03396 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-shared memory copy, Throughput = 0.4899 GB/s, Time = 0.03424 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-uncoalesced copy, Throughput = 0.2603 GB/s, Time = 0.06445 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-naive, Throughput = 0.3362 GB/s, Time = 0.04991 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
oclTranspose-Outer-optimized, Throughput = 0.4744 GB/s, Time = 0.03537 s, Size = 4194304 fp32 elements, NumDevsUsed = 2, Workgroup = 256
